name,id,matches_played,matches_won,matches_lost,player_kills_kda,player_kills_kills,player_kills_deaths,player_kills_assists,farming_gpm,farming_gold,farming_minion_damage,farming_minion_kills,damage_player,damage_team_healing,damage_self_healing,damage_inhand,damage_mitigated,damage_taken,season
Nutax,6776734,2973.0,1583.0,1390.0,1.89,13074.0,11465.0,17082.0,755.0,41198029.0,268818.0,582.0,78442.0,0.0,0.0,2782.0,36648.0,77757.0,3
Juanman,10059110,1404.0,692.0,712.0,2.0,6469.0,5738.0,10014.0,587.0,17477345.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3
lender1997,11678813,83.0,35.0,48.0,1.26,346.0,501.0,575.0,513.0,931903.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3
DaNeis,6910477,3560.0,1834.0,1726.0,2.11,18430.0,15891.0,30166.0,660.0,45139900.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3
EpZero,6418704,3101.0,1579.0,1522.0,1.99,18374.0,14513.0,21115.0,664.0,40887737.0,245031.0,518.0,114082.0,0.0,0.0,18976.0,165790.0,159076.0,3
Nutax,6776734,1496.0,824.0,672.0,2.09,7261.0,5626.0,8996.0,758.0,21485154.0,15785398.0,25834.0,5242452.0,0.0,0.0,552699.0,3375884.0,5995864.0,4
Juanman,10059110,681.0,324.0,357.0,2.32,3434.0,2797.0,6122.0,693.0,8849345.0,30767338.0,62647.0,10739198.0,0.0,0.0,2892051.0,6920799.0,12928804.0,4
lender1997,11678813,1246.0,588.0,658.0,1.55,5884.0,7366.0,11025.0,694.0,15508721.0,33539802.0,61487.0,21054024.0,0.0,0.0,6231571.0,14295634.0,27633861.0,4
DaNeis,6910477,229.0,112.0,117.0,2.14,1140.0,1034.0,2143.0,659.0,3014405.0,8277154.0,17996.0,3853928.0,0.0,0.0,604165.0,2960424.0,4410139.0,4
EpZero,6418704,1050.0,539.0,511.0,2.11,5906.0,4720.0,8089.0,596.0,13281852.0,35951186.0,63319.0,14236589.0,0.0,0.0,3873001.0,13333585.0,18772413.0,4
Nutax,6776734,1906.0,1037.0,869.0,2.16,9872.0,7550.0,12922.0,785.0,25418652.0,85916706.0,185340.0,30505649.0,0.0,0.0,5231323.0,22346799.0,36039537.0,5
Juanman,10059110,315.0,138.0,177.0,2.17,1370.0,1285.0,2830.0,686.0,4129140.0,11514308.0,23311.0,4066747.0,0.0,0.0,988982.0,2539855.0,4734384.0,5
lender1997,11678813,164.0,86.0,78.0,1.79,1096.0,1158.0,1958.0,871.0,2346075.0,3380442.0,6951.0,3389442.0,0.0,0.0,758709.0,2395134.0,4057227.0,5
DaNeis,6910477,816.0,422.0,394.0,2.06,3636.0,3943.0,8943.0,688.0,10537640.0,24951884.0,50471.0,13088692.0,0.0,0.0,2680395.0,11967148.0,16141526.0,5
EpZero,6418704,1045.0,515.0,530.0,1.72,5710.0,5462.0,7339.0,587.0,12856588.0,49330868.0,85396.0,16254934.0,0.0,0.0,4326327.0,15415519.0,21132396.0,5
Nutax,6776734,1311.0,736.0,575.0,2.24,6638.0,5450.0,11169.0,793.0,18031902.0,55308337.0,127576.0,20911454.0,1444402.0,5808593.0,4187601.0,15991387.0,24723328.0,6
Juanman,10059110,191.0,90.0,101.0,3.07,974.0,619.0,1852.0,728.0,2542052.0,7803814.0,16625.0,2997491.0,231740.0,435003.0,713414.0,1556420.0,3010739.0,6
lender1997,11678813,940.0,486.0,454.0,2.05,5749.0,5403.0,10650.0,712.0,12860096.0,31212643.0,59865.0,16869835.0,1474853.0,3799368.0,3652452.0,13235986.0,20444646.0,6
DaNeis,6910477,715.0,397.0,318.0,2.4,3181.0,2973.0,7902.0,774.0,9387261.0,18260807.0,39885.0,11437024.0,626773.0,1959593.0,2060869.0,8876722.0,12265625.0,6
EpZero,6418704,683.0,383.0,300.0,1.81,3773.0,3551.0,5323.0,632.0,8856980.0,31634872.0,58409.0,11263717.0,144697.0,2999132.0,2863349.0,11881183.0,14466856.0,6
Nutax,6776734,1656.0,869.0,787.0,2.68,7874.0,5643.0,14503.0,751.0,23278978.0,83905340.0,175992.0,28078293.0,1855467.0,7941374.0,4788852.0,20678517.0,30829251.0,7
Juanman,10059110,595.0,320.0,275.0,3.04,2897.0,1822.0,5286.0,670.0,8134268.0,35696648.0,66720.0,9467254.0,872352.0,2167664.0,2458658.0,5197052.0,9125900.0,7
lender1997,11678813,1580.0,815.0,765.0,2.09,6658.0,6793.0,15026.0,587.0,20487416.0,70715257.0,128887.0,22475429.0,1519162.0,6575825.0,3656060.0,32116922.0,32961921.0,7
DaNeis,6910477,355.0,188.0,167.0,2.2,1574.0,1522.0,3542.0,734.0,4646469.0,10924831.0,22727.0,5351421.0,282866.0,1081830.0,902475.0,4713024.0,6095909.0,7
EpZero,6418704,847.0,433.0,414.0,1.64,4284.0,4620.0,6566.0,585.0,11617134.0,49768582.0,84362.0,13983562.0,113314.0,5726777.0,3232983.0,18118323.0,21142024.0,7
Nutax,6776734,1480.0,749.0,731.0,3.11,7860.0,4715.0,13606.0,767.0,21014197.0,78023194.0,156418.0,28630474.0,850081.0,7913130.0,7378328.0,20380972.0,28258334.0,8
Juanman,10059110,758.0,383.0,375.0,2.58,3310.0,2557.0,6590.0,630.0,10301622.0,50898637.0,96869.0,12463428.0,893135.0,3202966.0,3013152.0,7285227.0,12681972.0,8
lender1997,11678813,1171.0,584.0,587.0,1.9,5495.0,5790.0,11016.0,597.0,15077965.0,51738889.0,100533.0,18517366.0,1281957.0,6604911.0,2345986.0,23588666.0,25954632.0,8
DaNeis,6910477,20.0,9.0,11.0,1.7,64.0,87.0,167.0,613.0,255172.0,672334.0,1418.0,274680.0,8450.0,83938.0,39858.0,411771.0,403861.0,8
EpZero,6418704,847.0,433.0,414.0,1.64,4284.0,4620.0,6566.0,585.0,11617134.0,49768582.0,84362.0,13983562.0,113314.0,5726777.0,3232983.0,18118323.0,21142024.0,8
Nutax,6776734,1708.0,955.0,753.0,2.41,8709.0,6331.0,13131.0,744.0,24927875.0,112575017.0,208129.0,34886626.0,1175651.0,7637822.0,12124445.0,21385575.0,34696558.0,9
